,Unnamed: 0,Publication,h5-index,h5-median
17,18.0,Journalism Practice,39,55
18,19.0,English Language Teaching,39,52
19,20.0,Journal of Pragmatics,39,50
0,1.0,Nature,444,667
1,2.0,Science,401,614
2,3.0,Nature Communications,307,428
3,4.0,Cell,300,505
4,5.0,Proceedings of the National Academy of Sciences,256,364
5,6.0,Nucleic Acids Research,238,550
6,7.0,Science of The Total Environment,225,311
7,8.0,Scientific Reports,206,274
8,9.0,PLoS ONE,198,278
9,10.0,Science Advances,197,294
10,11.0,Nature Genetics,191,297
11,12.0,International Journal of Molecular Sciences,183,253
12,13.0,Nature Biotechnology,175,315
13,14.0,Nature Methods,165,296
14,15.0,Neuron,164,231
15,16.0,Environmental Science & Technology,158,214
16,17.0,Nature Reviews. Molecular Cell Biology,155,340
17,18.0,Cell Metabolism,153,211
18,19.0,Environmental Pollution,152,222
19,20.0,Frontiers in Microbiology,151,225
0,1.0,Physical Review Letters,207,294
1,2.0,The Astrophysical Journal,167,234
2,3.0,Journal of High Energy Physics,160,220
3,4.0,Physical Review D,155,217
4,5.0,Monthly Notices of the Royal Astronomical Society,155,194
5,6.0,Nature Photonics,152,228
6,7.0,Nature Physics,151,222
7,8.0,Physical Review B,135,172
8,9.0,Astronomy & Astrophysics,127,175
9,10.0,Physical Review. X,125,205
10,11.0,The European Physical Journal C,120,180
11,12.0,Journal of Molecular Liquids,120,165
12,13.0,IEEE Transactions on Automatic Control,115,166
13,14.0,International Journal of Heat and Mass Transfer,115,153
14,15.0,IEEE Transactions on Geoscience and Remote Sensing,113,178
15,16.0,"IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)",110,171
16,17.0,Physics Letters B,107,143
17,18.0,Light: Science & Applications,101,141
18,19.0,Optics Express,101,138
19,20.0,Optica,100,138
0,1.0,Computers & Education,128,175
1,2.0,Journal of Business Ethics,123,176
2,3.0,Nature Human Behaviour,104,185
3,4.0,Research Policy,97,133
4,5.0,Social Science & Medicine,96,137
5,6.0,New Media & Society,94,143
6,7.0,Global Environmental Change,92,136
7,8.0,American Journal of Public Health,91,126
8,9.0,Energy Research & Social Science,88,135
9,10.0,Teaching and Teacher Education,88,135
10,11.0,Land Use Policy,86,106
11,12.0,Health Affairs,85,126
12,13.0,Business Strategy and the Environment,85,113
13,14.0,"Information, Communication & Society",79,134
14,15.0,Current Issues in Tourism,79,114
15,16.0,Journal of Vocational Behavior,78,117
16,17.0,Cities,78,105
17,18.0,Annals of Tourism Research,77,111
18,19.0,Child Abuse & Neglect,75,112
19,20.0,Academic Medicine,75,111
